Acte,Date,Ministère de l'Intérieur,Nombre Jaune,France Police
A1,24/11/18,287700,0,1300000
A2,1/12/18,166000,0,750000
A3,8/12/18,136000,0,809500
A4,15/12/18,136000,0,700000
A5,22/12/18,66000,0,0
A6,29/12/18,38600,0,300000
A7,5/1/19,32000,68100,0
A8,12/1/19,50000,123440,300000
A9,19/1/19,84000,159160,360000
A10,26/1/19,84000,147370,350000
A11,2/2/19,69000,123150,330000
A12,9/2/19,58600,115900,290000
A13,16/2/19,51400,118220,240000
A14,23/2/19,41500,104070,230000
A15,2/3/19,46600,123090,200000
A16,9/3/19,39300,96430,200000
A17,16/3/19,28600,90470,160000
A18,23/3/19,32300,0,290000
A19,30/3/19,40500,126250,90000
A20,6/4/19,33700,105080,120000
A21,13/4/19,22300,73290,110000
A22,20/4/19,31000,91280,90000
A23,27/4/19,27900,98180,90000
A24,4/5/19,23600,60710,60000
A25,11/5/19,18900,42860,60000
A26,18/5/19,18600,45240,60000
A27,25/5/19,15500,42130,55000
A28,1/6/19,12500,40240,55000
A29,8/6/19,9500,23540,40000
A30,15/6/19,10300,19490,40000
A31,22/6/19,7000,18500,35000
A32,29/6/19,11800,27440,40000
A33,6/7/19,5800,10730,0